atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_memberships	gcf_selected_category	gcf_selected_threshold	gcf_selected_id	gcf_selected_status	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
79	atlas_context	dataset_family_atlas	5927	mix	FAM_00087;FAM_01363	FAM_00087;FAM_01363	2	1		0	1	present	mix	ranthipeptide.sactipeptide	1		161	8	tier_2	Bacillus_subtilis_168	UNLABELED	Bacillus_subtilis_168_NC_000964.3.region001		RiPP	FAM_00087;FAM_01018;FAM_01363;FAM_02502	mix@c0.3=FAM_00087;mix@c0.3=FAM_01363;ripp@c0.3=FAM_01018;ripp@c0.3=FAM_02502	mix	0.3	FAM_00087;FAM_01363	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000601.4 | sporulation killing factor; clustercompare 1.0: sporulation killing factor	sporulation killing factor		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Bacillus_subtilis_168 Bacillus_subtilis_168_NC_000964.3.region001 represents BiG-SCAPE CC 5927 (FAM_00087;FAM_01363) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000601.4 | sporulation killing factor; clustercompare 1.0: sporulation killing factor, but product identity is not assigned.
80	atlas_context	dataset_family_atlas	181	mix	FAM_00002;FAM_01278	FAM_00002;FAM_01278	2	1		0	1	present	mix	NRPS.NRPS-like.T3PKS.transAT-PKS;NRPS.PKS-like.T3PKS.transAT-PKS	1		163	8	tier_2	Bacillus_subtilis_168	UNLABELED	Bacillus_subtilis_168_NC_000964.3.region004		NRPS;PKS	FAM_00002;FAM_01197;FAM_01278;FAM_02458	mix@c0.3=FAM_00002;mix@c0.3=FAM_01278;nrps.pks@c0.3=FAM_01197;nrps.pks@c0.3=FAM_02458	mix	0.3	FAM_00002;FAM_01278	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001089.5 | bacillaene; clustercompare 0.7649054114500067: bacillaene	bacillaene		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Bacillus_subtilis_168 Bacillus_subtilis_168_NC_000964.3.region004 represents BiG-SCAPE CC 181 (FAM_00002;FAM_01278) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0001089.5 | bacillaene; clustercompare 0.7649054114500067: bacillaene, but product identity is not assigned.
81	atlas_context	dataset_family_atlas	3077	mix	FAM_00057;FAM_01333	FAM_00057;FAM_01333	2	1		0	1	present	mix	glycocin	1		165	8	tier_2	Bacillus_subtilis_168	UNLABELED	Bacillus_subtilis_168_NC_000964.3.region007		RiPP	FAM_00057;FAM_01016;FAM_01333;FAM_02500	mix@c0.3=FAM_00057;mix@c0.3=FAM_01333;ripp@c0.3=FAM_01016;ripp@c0.3=FAM_02500	mix	0.3	FAM_00057;FAM_01333	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000558.5 | sublancin 168; clustercompare 0.9410360288810286: sublancin 168	sublancin 168		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Bacillus_subtilis_168 Bacillus_subtilis_168_NC_000964.3.region007 represents BiG-SCAPE CC 3077 (FAM_00057;FAM_01333) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000558.5 | sublancin 168; clustercompare 0.9410360288810286: sublancin 168, but product identity is not assigned.
82	atlas_context	dataset_family_atlas	1770	mix	FAM_00035;FAM_01311	FAM_00035;FAM_01311	2	1		0	1	present	mix	CDPS	1		167	8	tier_2	Bacillus_subtilis_168	UNLABELED	Bacillus_subtilis_168_NC_000964.3.region011		NRPS	FAM_00035;FAM_01059;FAM_01311;FAM_01932	mix@c0.3=FAM_00035;mix@c0.3=FAM_01311;nrps@c0.3=FAM_01059;nrps@c0.3=FAM_01932	mix	0.3	FAM_00035;FAM_01311	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0002103.2 | pulcherriminic acid; clustercompare 1.0: pulcherriminic acid	pulcherriminic acid		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Bacillus_subtilis_168 Bacillus_subtilis_168_NC_000964.3.region011 represents BiG-SCAPE CC 1770 (FAM_00035;FAM_01311) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0002103.2 | pulcherriminic acid; clustercompare 1.0: pulcherriminic acid, but product identity is not assigned.
83	atlas_context	dataset_family_atlas	12375	mix	FAM_00111;FAM_01387	FAM_00111;FAM_01387	2	1		0	1	present	mix	sactipeptide	1		168	8	tier_2	Bacillus_subtilis_168	UNLABELED	Bacillus_subtilis_168_NC_000964.3.region012		RiPP	FAM_00111;FAM_01020;FAM_01387;FAM_02504	mix@c0.3=FAM_00111;mix@c0.3=FAM_01387;ripp@c0.3=FAM_01020;ripp@c0.3=FAM_02504	mix	0.3	FAM_00111;FAM_01387	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000602.5 | subtilosin A; clustercompare 0.8966204425845118: subtilosin A	subtilosin A		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Bacillus_subtilis_168 Bacillus_subtilis_168_NC_000964.3.region012 represents BiG-SCAPE CC 12375 (FAM_00111;FAM_01387) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000602.5 | subtilosin A; clustercompare 0.8966204425845118: subtilosin A, but product identity is not assigned.
84	atlas_context	dataset_family_atlas	1103	mix	FAM_00023;FAM_01299	FAM_00023;FAM_01299	2	1		0	1	present	mix	NRP-metallophore.NRPS;unknown	1		169	8	tier_2	Escherichia_coli_K-12_substr._MG1655	UNLABELED	Escherichia_coli_K-12_substr._MG1655_NC_000913.3.region002		NRPS	FAM_00023;FAM_01181;FAM_01299;FAM_02054	mix@c0.3=FAM_00023;mix@c0.3=FAM_01299;nrps@c0.3=FAM_01181;nrps@c0.3=FAM_02054	mix	0.3	FAM_00023;FAM_01299	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0002476.2 | enterobactin; clustercompare 0.9654893846056297: enterobactin	enterobactin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Escherichia_coli_K-12_substr._MG1655 Escherichia_coli_K-12_substr._MG1655_NC_000913.3.region002 represents BiG-SCAPE CC 1103 (FAM_00023;FAM_01299) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0002476.2 | enterobactin; clustercompare 0.9654893846056297: enterobactin, but product identity is not assigned.
85	atlas_context	dataset_family_atlas	5493	mix	FAM_00080;FAM_01356	FAM_00080;FAM_01356	2	1		0	1	present	mix	terpene	1		170	8	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region001		terpene	FAM_00080;FAM_00649;FAM_01356;FAM_02230	mix@c0.3=FAM_00080;mix@c0.3=FAM_01356;terpene@c0.3=FAM_00649;terpene@c0.3=FAM_02230	mix	0.3	FAM_00080;FAM_01356	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000683.3 | avermitilol; clustercompare 1.0: avermitilol	avermitilol		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region001 represents BiG-SCAPE CC 5493 (FAM_00080;FAM_01356) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000683.3 | avermitilol; clustercompare 1.0: avermitilol, but product identity is not assigned.
86	atlas_context	dataset_family_atlas	2389	mix	FAM_00048;FAM_01324	FAM_00048;FAM_01324	2	1		0	1	present	mix	terpene	1		173	8	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region007		terpene	FAM_00048;FAM_00642;FAM_01324;FAM_02223	mix@c0.3=FAM_00048;mix@c0.3=FAM_01324;terpene@c0.3=FAM_00642;terpene@c0.3=FAM_02223	mix	0.3	FAM_00048;FAM_01324	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000633.3 | carotenoid; clustercompare 1.0: carotenoid	carotenoid		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region007 represents BiG-SCAPE CC 2389 (FAM_00048;FAM_01324) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000633.3 | carotenoid; clustercompare 1.0: carotenoid, but product identity is not assigned.
87	atlas_context	dataset_family_atlas	2065	mix	FAM_00042;FAM_01318	FAM_00042;FAM_01318	2	1		0	1	present	mix	melanin;melanin.terpene-precursor	1		174	8	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region008		terpene	FAM_00042;FAM_01263;FAM_01318;FAM_02552	mix@c0.3=FAM_00042;mix@c0.3=FAM_01318;other.terpene@c0.3=FAM_01263;other.terpene@c0.3=FAM_02552	mix	0.3	FAM_00042;FAM_01318	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000908.3 | melanin; clustercompare 1.0: melanin	melanin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region008 represents BiG-SCAPE CC 2065 (FAM_00042;FAM_01318) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000908.3 | melanin; clustercompare 1.0: melanin, but product identity is not assigned.
88	atlas_context	dataset_family_atlas	2225	mix	FAM_00046;FAM_01322	FAM_00046;FAM_01322	2	1		0	1	present	mix	terpene	1		175	8	tier_2	Streptomyces_avermitilis_MA-4680	UNLABELED	Streptomyces_avermitilis_MA-4680_NC_003155.5.region020		terpene	FAM_00046;FAM_00641;FAM_01322;FAM_02222	mix@c0.3=FAM_00046;mix@c0.3=FAM_01322;terpene@c0.3=FAM_00641;terpene@c0.3=FAM_02222	mix	0.3	FAM_00046;FAM_01322	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000678.5 | pentalenolactone; clustercompare 1.0: pentalenolactone	pentalenolactone		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_avermitilis_MA-4680 Streptomyces_avermitilis_MA-4680_NC_003155.5.region020 represents BiG-SCAPE CC 2225 (FAM_00046;FAM_01322) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000678.5 | pentalenolactone; clustercompare 1.0: pentalenolactone, but product identity is not assigned.
89	atlas_context	dataset_family_atlas	9933	mix	FAM_00106;FAM_01382	FAM_00106;FAM_01382	2	1		0	1	present	mix	T2PKS	1		181	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region012		PKS	FAM_00106;FAM_00884;FAM_01382;FAM_02145	mix@c0.3=FAM_00106;mix@c0.3=FAM_01382;pks@c0.3=FAM_00884;pks@c0.3=FAM_02145	mix	0.3	FAM_00106;FAM_01382	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000194.5 | actinorhodin; clustercompare 1.0: actinorhodin	actinorhodin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region012 represents BiG-SCAPE CC 9933 (FAM_00106;FAM_01382) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000194.5 | actinorhodin; clustercompare 1.0: actinorhodin, but product identity is not assigned.
90	atlas_context	dataset_family_atlas	13750	mix	FAM_00112;FAM_01388	FAM_00112;FAM_01388	2	1		0	1	present	mix	NRPS-like.T1PKS.prodigiosin;prodigiosin	1		182	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region017		NRPS;PKS	FAM_00112;FAM_01231;FAM_01388;FAM_02492	mix@c0.3=FAM_00112;mix@c0.3=FAM_01388;nrps.pks@c0.3=FAM_01231;nrps.pks@c0.3=FAM_02492	mix	0.3	FAM_00112;FAM_01388	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001063.5 | undecylprodigiosin; clustercompare 0.9944132912526583: undecylprodigiosin	undecylprodigiosin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region017 represents BiG-SCAPE CC 13750 (FAM_00112;FAM_01388) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0001063.5 | undecylprodigiosin; clustercompare 0.9944132912526583: undecylprodigiosin, but product identity is not assigned.
91	atlas_context	dataset_family_atlas	198	mix	FAM_00003;FAM_01279	FAM_00003;FAM_01279	2	1		0	1	present	mix	lanthipeptide-class-iii	1		183	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region023		RiPP	FAM_00003;FAM_01014;FAM_01279;FAM_02498	mix@c0.3=FAM_00003;mix@c0.3=FAM_01279;ripp@c0.3=FAM_01014;ripp@c0.3=FAM_02498	mix	0.3	FAM_00003;FAM_01279	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000551.5 | SapB; clustercompare 1.0: SapB	SapB		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region023 represents BiG-SCAPE CC 198 (FAM_00003;FAM_01279) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000551.5 | SapB; clustercompare 1.0: SapB, but product identity is not assigned.
92	atlas_context	dataset_family_atlas	1890	mix	FAM_00039;FAM_01315	FAM_00039;FAM_01315	2	1		0	1	present	mix	PKS-like.T1PKS	1		184	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region025		PKS	FAM_00039;FAM_00868;FAM_01315;FAM_02129	mix@c0.3=FAM_00039;mix@c0.3=FAM_01315;pks@c0.3=FAM_00868;pks@c0.3=FAM_02129	mix	0.3	FAM_00039;FAM_01315	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001283.3 | Bisenarsan; clustercompare 0.8705996653958814: Bisenarsan	Bisenarsan		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region025 represents BiG-SCAPE CC 1890 (FAM_00039;FAM_01315) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0001283.3 | Bisenarsan; clustercompare 0.8705996653958814: Bisenarsan, but product identity is not assigned.
93	atlas_context	dataset_family_atlas	583	mix	FAM_00011;FAM_01287	FAM_00011;FAM_01287	2	1		0	1	present	mix	T3PKS;T3PKS.other	1		185	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region027		PKS	FAM_00011;FAM_01246;FAM_01287;FAM_01923	mix@c0.3=FAM_00011;mix@c0.3=FAM_01287;pks.other@c0.3=FAM_01246;pks.other@c0.3=FAM_01923	mix	0.3	FAM_00011;FAM_01287	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001454.5 | germicidin; clustercompare 0.8719425087841415: germicidin	germicidin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region027 represents BiG-SCAPE CC 583 (FAM_00011;FAM_01287) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0001454.5 | germicidin; clustercompare 0.8719425087841415: germicidin, but product identity is not assigned.
94	atlas_context	dataset_family_atlas	13932	mix	FAM_00113;FAM_01389	FAM_00113;FAM_01389	2	1		0	1	present	mix	indole	1		186	8	tier_2	Streptomyces_coelicolor_A3_2	UNLABELED	Streptomyces_coelicolor_A3_2_NC_003888.3.region028		indole	FAM_00113;FAM_00971;FAM_01389;FAM_02085	mix@c0.3=FAM_00113;mix@c0.3=FAM_01389;other@c0.3=FAM_00971;other@c0.3=FAM_02085	mix	0.3	FAM_00113;FAM_01389	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0002128.3 | 5-dimethylallylindole-3-acetonitrile; clustercompare 0.9654893846056297: 5-dimethylallylindole-3-acetonitrile	5-dimethylallylindole-3-acetonitrile		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_coelicolor_A3_2 Streptomyces_coelicolor_A3_2_NC_003888.3.region028 represents BiG-SCAPE CC 13932 (FAM_00113;FAM_01389) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0002128.3 | 5-dimethylallylindole-3-acetonitrile; clustercompare 0.9654893846056297: 5-dimethylallylindole-3-acetonitrile, but product identity is not assigned.
95	atlas_context	dataset_family_atlas	1799	mix	FAM_00036;FAM_01312	FAM_00036;FAM_01312	2	1		0	1	present	mix	RiPP-like	1		188	8	tier_2	Streptomyces_griseus_NBRC_13350	UNLABELED	Streptomyces_griseus_NBRC_13350_NC_010572.1.region006		RiPP	FAM_00036;FAM_01015;FAM_01312;FAM_02499	mix@c0.3=FAM_00036;mix@c0.3=FAM_01312;ripp@c0.3=FAM_01015;ripp@c0.3=FAM_02499	mix	0.3	FAM_00036;FAM_01312	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0002115.3 | streptamidine; clustercompare 0.7433109104783634: streptamidine	streptamidine		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_griseus_NBRC_13350 Streptomyces_griseus_NBRC_13350_NC_010572.1.region006 represents BiG-SCAPE CC 1799 (FAM_00036;FAM_01312) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0002115.3 | streptamidine; clustercompare 0.7433109104783634: streptamidine, but product identity is not assigned.
96	atlas_context	dataset_family_atlas	522	mix	FAM_00009;FAM_01285	FAM_00009;FAM_01285	2	1		0	1	present	mix	RRE-containing.amglyccycl;amglyccycl	1		193	8	tier_2	Streptomyces_griseus_NBRC_13350	UNLABELED	Streptomyces_griseus_NBRC_13350_NC_010572.1.region032		RiPP	FAM_00009;FAM_01260;FAM_01285;FAM_02554	mix@c0.3=FAM_00009;mix@c0.3=FAM_01285;ripp.other@c0.3=FAM_01260;ripp.other@c0.3=FAM_02554	mix	0.3	FAM_00009;FAM_01285	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0000724.5 | streptomycin; clustercompare 0.7569502882253165: mechercharmycin	streptomycin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_griseus_NBRC_13350 Streptomyces_griseus_NBRC_13350_NC_010572.1.region032 represents BiG-SCAPE CC 522 (FAM_00009;FAM_01285) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0000724.5 | streptomycin; clustercompare 0.7569502882253165: mechercharmycin, but product identity is not assigned.
97	atlas_context	dataset_family_atlas	2678	mix	FAM_00054;FAM_01330	FAM_00054;FAM_01330	2	1		0	1	present	mix	T1PKS;T1PKS.terpene	1		194	8	tier_2	Streptomyces_griseus_NBRC_13350	UNLABELED	Streptomyces_griseus_NBRC_13350_NC_010572.1.region033		PKS;terpene	FAM_00054;FAM_01253;FAM_01330;FAM_02451	mix@c0.3=FAM_00054;mix@c0.3=FAM_01330;pks.terpene@c0.3=FAM_01253;pks.terpene@c0.3=FAM_02451	mix	0.3	FAM_00054;FAM_01330	assigned	present	1	0	1	antiSMASH (complete applicable detector set)	knowncluster_high	BGC0001828.5 | griseochelin; clustercompare 0.9870115168742856: griseochelin	griseochelin		review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH (complete applicable detector set); gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited; knowncluster>=50; clustercompare>=0.7	Streptomyces_griseus_NBRC_13350 Streptomyces_griseus_NBRC_13350_NC_010572.1.region033 represents BiG-SCAPE CC 2678 (FAM_00054;FAM_01330) with 2 clustered records across 1 dataset genomes. Annotation hints include BGC0001828.5 | griseochelin; clustercompare 0.9870115168742856: griseochelin, but product identity is not assigned.
98	atlas_context	dataset_family_atlas	2167	mix	FAM_00045;FAM_01321	FAM_00045;FAM_01321	2	1		0	1	present	mix	NRPS	1		203	7	tier_3	Aspergillus_niger	UNLABELED	NT_166531.1.region004	BGC61	NRPS	FAM_00045;FAM_01061;FAM_01321;FAM_01934	mix@c0.3=FAM_00045;mix@c0.3=FAM_01321;nrps@c0.3=FAM_01061;nrps@c0.3=FAM_01934	mix	0.3	FAM_00045;FAM_01321	assigned	present	1	0	1	antiSMASH+FunBGCeX	FunBGCeX_hint	clustercompare 0.6893578636461635: serinocyclin A, serinocyclin B; FBGC00609 15.2: 1-(2,6-dihydroxyphenyl)but-2-en-1-one		1-(2,6-dihydroxyphenyl)but-2-en-1-one	manual class-logic review, then targeted synteny if chemistry remains plausible	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; FunBGCeX_similarity>=10	Aspergillus_niger NT_166531.1.region004 represents BiG-SCAPE CC 2167 (FAM_00045;FAM_01321) with 2 clustered records across 1 dataset genomes. Annotation hints include clustercompare 0.6893578636461635: serinocyclin A, serinocyclin B; FBGC00609 15.2: 1-(2,6-dihydroxyphenyl)but-2-en-1-one, but product identity is not assigned.
99	atlas_context	dataset_family_atlas	1700	mix	FAM_00031;FAM_01307	FAM_00031;FAM_01307	2	1		0	1	present	mix	T1PKS	1		240	7	tier_3	Aspergillus_niger	UNLABELED	NT_166530.1.region003	BGC41	PKS	FAM_00031;FAM_00867;FAM_01307;FAM_02128	mix@c0.3=FAM_00031;mix@c0.3=FAM_01307;pks@c0.3=FAM_00867;pks@c0.3=FAM_02128	mix	0.3	FAM_00031;FAM_01307	assigned	present	1	0	1	antiSMASH+FunBGCeX	FunBGCeX_hint	clustercompare 0.6565793572407307: prolipyrone B, gibepyrone D; FBGC00544 66.3: xylariolide D		xylariolide D	manual class-logic review, then targeted synteny if chemistry remains plausible	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; FunBGCeX_similarity>=10	Aspergillus_niger NT_166530.1.region003 represents BiG-SCAPE CC 1700 (FAM_00031;FAM_01307) with 2 clustered records across 1 dataset genomes. Annotation hints include clustercompare 0.6565793572407307: prolipyrone B, gibepyrone D; FBGC00544 66.3: xylariolide D, but product identity is not assigned.
100	atlas_context	dataset_family_atlas	1017	mix	FAM_00021;FAM_01297	FAM_00021;FAM_01297	2	1		0	1	present	mix	NRP-metallophore.NRPS	1		248	7	tier_3	Orbilia_oligospora_ATCC_24927	UNLABELED	NW_011645772.1.region002	BGC26	NRPS	FAM_00021;FAM_01056;FAM_01297;FAM_01929	mix@c0.3=FAM_00021;mix@c0.3=FAM_01297;nrps@c0.3=FAM_01056;nrps@c0.3=FAM_01929	mix	0.3	FAM_00021;FAM_01297	assigned	present	1	0	1	antiSMASH+FunBGCeX	FunBGCeX_hint	clustercompare 0.6758051681318848: epichloenin A; FBGC00372 51.0: triacetylfusarinine C/hydroxyferricrocin		triacetylfusarinine C/hydroxyferricrocin	manual class-logic review, then targeted synteny if chemistry remains plausible	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; FunBGCeX_similarity>=10	Orbilia_oligospora_ATCC_24927 NW_011645772.1.region002 represents BiG-SCAPE CC 1017 (FAM_00021;FAM_01297) with 2 clustered records across 1 dataset genomes. Annotation hints include clustercompare 0.6758051681318848: epichloenin A; FBGC00372 51.0: triacetylfusarinine C/hydroxyferricrocin, but product identity is not assigned.
