genome,taxon_group,detector_relation,scaffold,overlap_bp,antismash_bgc_id,antismash_start,antismash_end,antismash_bgc_class,antismash_knowncluster_similarity_score,antismash_knowncluster_accession,antismash_knowncluster_product,antismash_clustercompare_similarity_score,antismash_clustercompare_compounds,antismash_clustercompare_organism,funbgcex_bgc_id,funbgcex_start,funbgcex_end,funbgcex_core_enzymes,funbgcex_similar_bgc,funbgcex_similarity_score,funbgcex_putative_product,same_putative_product_exact,same_putative_product_keyword
Aspergillus_fumigatus_Af293,fungi,shared,NC_007199,38233,NC_007199.1.region006,3521104,3588495,PKS;terpene,100,BGC0000129.3,pyripyropene A,0.9874986894691234,pyripyropene A,Aspergillus fumigatus Af293,BGC48,3545880,3584112,"HR-PKS, TC (Pyr4), PT (UbiA)",FBGC00001,99.9,pyripyropene A,yes,yes
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007200,0,,,,,,,,,,,BGC49,27793,50324,"NR-PKS, PT (DMATS)",FBGC00227,93.7,neosartoricin,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007200,0,,,,,,,,,,,BGC51,1015962,1017200,TC (SHC/OSC),,,,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007200,32220,NC_007200.1.region001,6017,104659,PKS;terpene;indole,83,BGC0002646.3,hancockinone A,0.7574540435293874,hancockinone A,Aspergillus hancockii,BGC50,57440,89659,"TC (SHC/OSC), TC (SHC/OSC)",FBGC00662,82.9,fumionoceroid C,no,no
Aspergillus_fumigatus_Af293,fungi,antismash_only,NC_007200,0,NC_007200.1.region002,304852,336460,terpene,60,BGC0001839.3,squalestatin S1,0.6985130075065554,squalestatin S1,Aspergillus sp. Z5,,,,,,,,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007201,0,,,,,,,,,,,BGC52,2961,49410,"NRPS, PT (DMATS), PT (DMATS)",FBGC00043,99.7,fumitremorgin A,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007201,0,,,,,,,,,,,BGC54,147860,149248,PT (DMATS),FBGC00623,15.6,acu-dioxomorpholine A,no,no
Aspergillus_fumigatus_Af293,fungi,funbgcex_only,NC_007201,0,,,,,,,,,,,BGC57,1545901,1552980,RiPP PP,FBGC00494,30.1,asperipin-2a,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007201,65038,NC_007201.1.region001,1,164248,NRPS;PKS;terpene;indole,100,BGC0001067.5,Fumagillin,0.9826051567826208,Fumagillin,Aspergillus fumigatus Af293,BGC53,79285,144322,"PKS-NRPS, HR-PKS, TC (UbiA)",FBGC00287,94.9,fumagillin/pseurotin,no,yes
Aspergillus_fumigatus_Af293,fungi,shared,NC_007201,8581,NC_007201.1.region002,400403,463447,NRPS,,,,0.6034212099311219,peramine,Epichloe festucae,BGC55,424867,433447,NRPS-like,FBGC00545,7.8,brevijanazine A,no,no
Aspergillus_fumigatus_Af293,fungi,shared,NC_007201,41714,NC_007201.1.region003,601460,667026,PKS;terpene,100,BGC0002604.2,sartorypyrone A,0.7206867763489178,sartorypyrone A,Aspergillus felis,BGC56,605603,647316,"NR-PKS, TC (Pyr4), PT (UbiA), PPPS",FBGC00681,99.1,sartorypyrones,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066257,0,,,,,,,,,,,BGC2,204476,222640,HR-PKS,FBGC00509,11.8,didymellamide B,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066257,46041,NC_066257.1.region001,109085,244310,NRPS;PKS,100,BGC0000037.4,cichorine,1.0,cichorine,Aspergillus nidulans FGSC A4,BGC1,121125,167165,"NR-PKS, NRPS-like",FBGC00212,100.0,cichorine,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066257,17606,NC_066257.1.region002,766758,833124,NRPS,25,BGC0002710.2,metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid,0.7607179138281028,dimethylcoprogen,Alternaria alternata,BGC3,788410,806015,NRPS,FBGC00374,75.2,triacetylfusarinine C/hydroxyferricrocin,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066257,8374,NC_066257.1.region003,1512669,1578214,PKS,100,BGC0000684.4,asperthecin,0.8735804647362989,asperthecin,Aspergillus nidulans FGSC A4,BGC4,1539841,1548214,NR-PKS,FBGC00233,75.0,asperthecin,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066257,36155,NC_066257.1.region004,3087076,3165930,PKS;indole,18,BGC0000022.3,asperfuranone,0.7546603407878172,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC5,3099776,3135930,"HR-PKS, PT (DMATS)",FBGC00251,100.0,shamixanthone,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066257,20847,NC_066257.1.region005,3184638,3218200,terpene,13,BGC0000120.5,patulin,0.5534296065438304,preaspterpenacid I,Aspergillus terreus NIH2624,BGC6,3183485,3205484,chimeric TS,FBGC00008,68.9,variediene,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,53343,NC_066258.1.region001,86874,168684,NRPS,80,BGC0001515.4,aspercryptins,0.8774459153655192,aspercryptins,Aspergillus nidulans FGSC A4,BGC7,71896,140216,NRPS,FBGC00345,99.8,aspercryptin,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,10739,NC_066258.1.region002,176866,243367,PKS,90,BGC0000057.5,F9775A/F9775B/orsellinic acid,0.8126410337774762,"F9775A, F9775B, orsellinic acid",Aspergillus nidulans FGSC A4,BGC8,206866,217604,NR-PKS,FBGC00232,66.7,diorcinol,no,no
Aspergillus_nidulans_FGSC_A4,fungi,antismash_only,NC_066258,0,NC_066258.1.region003,479852,510954,terpene,,,,0.35730399784989,cattleyene,Streptomyces cattleya NRRL 8057 = DSM 46488,,,,,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,31531,NC_066258.1.region004,733960,797193,NRPS,,,,0.6038449151974288,peramine,Epichloe festucae,BGC9,757957,789487,NRPS-like,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,11189,NC_066258.1.region005,873700,906606,terpene,85,BGC0002603.2,chevalone E,0.612672171009964,chevalone E,Aspergillus versicolor,BGC10,880418,891606,"TC (Pyr4), PT (UbiA), PPPS",FBGC00019,64.0,chevalone E,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,6675,NC_066258.1.region006,1106199,1172873,PKS,100,BGC0000107.3,naphthopyrone,1.0,naphthopyrone,Aspergillus nidulans FGSC A4,BGC11,1136199,1142873,NR-PKS,FBGC00615,36.5,YWA1 derivative,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,7131,NC_066258.1.region007,1252070,1284462,terpene,,,,0.7607227690539425,clavaric acid,Hypholoma sublateritium,BGC12,1264307,1271437,TC (SHC/OSC),,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,antismash_only,NC_066258,0,NC_066258.1.region008,1287718,1320061,terpene,100,BGC0001248.3,clavaric acid,0.7922868660261826,clavaric acid,Hypholoma sublateritium,,,,,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,8129,NC_066258.1.region009,2585331,2648584,NRPS,,,,0.5438848398298571,ascofuranone,Acremonium egyptiacum,BGC13,2615331,2623459,NRPS-like,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,24865,NC_066258.1.region010,3515341,3591457,PKS,,,,0.7649901469602947,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC14,3545341,3570205,"HR-PKS, PKS-like",FPROT00022,23.8,phaeospelide A,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066258,35900,NC_066258.1.region011,3894481,3966952,NRPS,100,BGC0001399.4,fellutamide B,0.9654893846056297,fellutamide B,Aspergillus nidulans FGSC A4,BGC15,3918046,3953945,"NRPS, NRPS",FBGC00367,99.1,fellutamide B,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066259,9306,NC_066259.1.region001,825230,888599,NRPS,,,,0.4086049036166531,aspulvinone E,Aspergillus terreus NIH2624,BGC16,851551,860856,NRPS-like,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066259,14270,NC_066259.1.region002,1401062,1466237,NRPS,100,BGC0001679.3,N-Acetyltryptophan,0.9772648059188251,N-Acetyltryptophan,Aspergillus nidulans FGSC A4,BGC17,1421968,1436237,NRPS,FBGC00388,100.0,grey-brown conidiophore pigments,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066260,0,,,,,,,,,,,BGC18,1072976,1091805,HR-PKS,FBGC00319,8.0,brefeldin A,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066260,0,,,,,,,,,,,BGC21,2767851,2781749,HR-PKS,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066260,36109,NC_066260.1.region001,1045894,1155772,PKS,83,BGC0002237.3,dichlorodiaporthin,1.0,alternariol,Aspergillus nidulans FGSC A4,BGC19,1111810,1147918,NR-PKS,FBGC00563,66.8,8-methyldichlorodiaporthin,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066260,36792,NC_066260.1.region002,2696898,2806511,PKS,53,BGC0000011.3,Sterigmatocystin/Aflatoxin B1/Aflatoxin B2,0.7664450485992107,6-methylsalicyclic acid,Glarea lozoyensis,BGC20,2686145,2733689,NR-PKS,FBGC00062,80.6,sterigmatocystin,no,yes
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066261,0,,,,,,,,,,,BGC25,677612,702394,NRPS,FBGC00309,3.4,fusaric acid,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066261,0,,,,,,,,,,,BGC28,1960684,1975502,NRPS-like,FBGC00667,25.1,isaridins,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,46655,NC_066261.1.region001,274399,342132,PKS,31,BGC0001729.3,paraherquonin,0.6559483200967456,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC22,273666,321053,"NR-PKS, TC (Pyr4), RiPP PP",FBGC00002,100.0,austinol,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,52654,NC_066261.1.region002,362716,434651,NRPS;PKS,100,BGC0000959.5,aspyridone A/aspyridone B,0.9913788813506663,"aspyridone A, aspyridone B",Aspergillus nidulans FGSC A4,BGC23,370956,423609,PKS-NRPS,FBGC00284,99.1,aspyridone A,no,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,1376,NC_066261.1.region003,617992,649367,indole,,,,0.31174695558201737,"penitrem A, penitrem B, penitrem C, penitrem D, penitrem E, penitrem F",Penicillium simplicissimum,BGC24,632992,634367,PT (DMATS),FBGC00349,100.0,nidulanin A,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,36109,NC_066261.1.region004,669561,765025,NRPS;indole,100,BGC0000442.5,terrequinone A,0.9811275528138894,terrequinone A,Aspergillus nidulans FGSC A4,BGC26,712099,748207,"PT (DMATS), NRPS-like",FBGC00408,92.1,terrequinone A,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,2132,NC_066261.1.region005,1169686,1201817,terpene,,,,0.3206430280534712,"calidoustene A, calidoustene B, calidoustene C",Aspergillus calidoustus,BGC27,1184686,1186817,TC (AstC),,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,4138,NC_066261.1.region006,2774471,2805103,terpene,,,,0.5585174966844682,conidiogenone,Penicillium rubens Wisconsin 54-1255,BGC29,2786852,2790989,"TC (Tri5), TC (Tri5)",FBGC00419,23.1,conidiogenone,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066261,3813,NC_066261.1.region007,2872578,2936390,NRPS,100,BGC0002276.2,choline,0.9811275528138894,choline,Aspergillus nidulans FGSC A4,BGC30,2902578,2906390,NRPS-like,FBGC00338,100.0,choline,yes,yes
Aspergillus_nidulans_FGSC_A4,fungi,antismash_only,NC_066261,0,NC_066261.1.region008,3030403,3064406,other,,,,0.5028066271179614,"corynecin III, corynecin I, corynecin II",Rhodococcus sp. H-CA8f,,,,,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066262,0,,,,,,,,,,,BGC33,790461,797948,NRPS-like,FBGC00606,100.0,microperfuranone,no,no
Aspergillus_nidulans_FGSC_A4,fungi,funbgcex_only,NC_066262,0,,,,,,,,,,,BGC39,3032534,3043519,ICS,,,,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066262,75323,NC_066262.1.region001,1,103676,NRPS;PKS;indole,85,BGC0001372.3,penigequinolone A,1.0,"(+)-asperlin, (2Z,4Z,6E)-octa-2,4,6-trienoic acid",Aspergillus nidulans FGSC A4,BGC31,1049,76371,"HR-PKS, NRPS, PT (DMATS), PT (DMATS)",FBGC00302,99.8,asperlin,no,no
Aspergillus_nidulans_FGSC_A4,fungi,shared,NC_066262,8902,NC_066262.1.region002,143531,174843,terpene,,,,0.4713261328474655,"fumihopaside A, compound 3, 21-β-H-hopane-3beta, 22-diol",Aspergillus fumigatus A1163,BGC32,154950,163851,TC (SHC/OSC),FBGC00583,7.4,halovir I,no,no
Aspergillus_nidulans_FGSC_A4,fungi,antismash_only,NC_066262,0,NC_066262.1.region003,336306,375977,other,,,,0.5606470927377312,bovienimide A,Xenorhabdus bovienii SS-2004,,,,,,,,no,no
