atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
11	atlas_now	dataset_family_atlas	1751	mix	FAM_00008	FAM_00008;FAM_00178	2	2		0	2	present	NRPS;mix	NRPS	1		8	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001302.1.region011	BGC15	NRPS	FAM_00008;FAM_00178	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001399.4 | fellutamide B; clustercompare 0.9654893846056297: fellutamide B; FBGC00367 99.1: fellutamide B	fellutamide B	fellutamide B	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001302.1.region011 represents BiG-SCAPE CC 1751 (FAM_00008) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001399.4 | fellutamide B; clustercompare 0.9654893846056297: fellutamide B; FBGC00367 99.1: fellutamide B, but product identity is not assigned.
12	atlas_now	dataset_family_atlas	4107	mix	FAM_00015	FAM_00015;FAM_00142	2	2		0	2	present	PKS;mix	T1PKS	1		9	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001308.1.region004	BGC59	PKS	FAM_00015;FAM_00142	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000022.3 | asperfuranone; clustercompare 0.976124472554168: asperfuranone; FBGC00221 100.0: asperfuranone	asperfuranone	asperfuranone	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001308.1.region004 represents BiG-SCAPE CC 4107 (FAM_00015) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000022.3 | asperfuranone; clustercompare 0.976124472554168: asperfuranone; FBGC00221 100.0: asperfuranone, but product identity is not assigned.
13	atlas_context	dataset_family_atlas	1849	mix	FAM_00010	FAM_00010;FAM_00138	2	2		0	2	present	PKS;mix	T1PKS	1		10	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001308.1.region009	BGC62	PKS	FAM_00010;FAM_00138	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000101.5 | emodin/monodictyphenone/shamixanthone; clustercompare 0.9859136166167861: emodin, monodictyphenone, shamixanthone; FBGC00250 100.0: shamixanthone	emodin/monodictyphenone/shamixanthone	shamixanthone	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_nidulans_FGSC_A4 BN001308.1.region009 represents BiG-SCAPE CC 1849 (FAM_00010) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000101.5 | emodin/monodictyphenone/shamixanthone; clustercompare 0.9859136166167861: emodin, monodictyphenone, shamixanthone; FBGC00250 100.0: shamixanthone, but product identity is not assigned.
14	atlas_context	dataset_family_atlas	78	mix	FAM_00001	FAM_00001;FAM_00176	2	2		0	2	present	NRPS;mix	NRPS	1		11	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001308.1.region003	BGC58	NRPS	FAM_00001;FAM_00176	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001699.4 | nidulanin A; clustercompare 0.9714127805419094: nidulanin A; FBGC00348 97.5: nidulanin A	nidulanin A	nidulanin A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001308.1.region003 represents BiG-SCAPE CC 78 (FAM_00001) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001699.4 | nidulanin A; clustercompare 0.9714127805419094: nidulanin A; FBGC00348 97.5: nidulanin A, but product identity is not assigned.
15	atlas_context	dataset_family_atlas	8384	mix	FAM_00021	FAM_00021;FAM_00213	2	2		0	2	present	mix;terpene	terpene;terpene-precursor	1		12	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001307.1.region003	BGC43	terpene	FAM_00021;FAM_00213	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000673.3 | pimara-8(14),15-diene; clustercompare 1.0: pimara-8(14),15-diene; FBGC00430 100.0: ent-pimara-8(14),15-diene	pimara-8(14),15-diene	ent-pimara-8(14),15-diene	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_nidulans_FGSC_A4 BN001307.1.region003 represents BiG-SCAPE CC 8384 (FAM_00021) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000673.3 | pimara-8(14),15-diene; clustercompare 1.0: pimara-8(14),15-diene; FBGC00430 100.0: ent-pimara-8(14),15-diene, but product identity is not assigned.
16	atlas_context	dataset_family_atlas	1921	mix	FAM_00011	FAM_00011;FAM_00139	2	2		0	2	present	PKS;mix	T1PKS	1		14	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001306.1.region007	BGC37	PKS	FAM_00011;FAM_00139	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001722.3 | aspernidine A; clustercompare 1.0: aspernidine A; FBGC00220 100.0: aspernidine A	aspernidine A	aspernidine A	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001306.1.region007 represents BiG-SCAPE CC 1921 (FAM_00011) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001722.3 | aspernidine A; clustercompare 1.0: aspernidine A; FBGC00220 100.0: aspernidine A, but product identity is not assigned.
17	atlas_context	dataset_family_atlas	6704	mix	FAM_00020	FAM_00020;FAM_00261	2	2		0	2	present	PKS.terpene;mix	T1PKS;T1PKS.terpene	1		15	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001307.1.region006	BGC46	PKS;terpene	FAM_00020;FAM_00261	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001998.2 | aspernidgulene A1/aspernidgulene A2/aspernidgulene B1; clustercompare 1.0: aspernidgulene A1, aspernidgulene A2, aspernidgulene B1; FBGC00281 100.0: aspernidgulene A1	aspernidgulene A1/aspernidgulene A2/aspernidgulene B1	aspernidgulene A1	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_nidulans_FGSC_A4 BN001307.1.region006 represents BiG-SCAPE CC 6704 (FAM_00020) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001998.2 | aspernidgulene A1/aspernidgulene A2/aspernidgulene B1; clustercompare 1.0: aspernidgulene A1, aspernidgulene A2, aspernidgulene B1; FBGC00281 100.0: aspernidgulene A1, but product identity is not assigned.
18	atlas_context	dataset_family_atlas	8613	mix	FAM_00022	FAM_00022;FAM_00144	2	2		0	2	present	PKS;mix	T1PKS	1		16	11	tier_1	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001301.1.region003	BGC4	PKS	FAM_00022;FAM_00144	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000684.4 | asperthecin; clustercompare 0.8735804647362989: asperthecin; FBGC00233 75.0: asperthecin	asperthecin	asperthecin	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=exact	Aspergillus_nidulans_FGSC_A4 BN001301.1.region003 represents BiG-SCAPE CC 8613 (FAM_00022) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000684.4 | asperthecin; clustercompare 0.8735804647362989: asperthecin; FBGC00233 75.0: asperthecin, but product identity is not assigned.
19	atlas_context	dataset_family_atlas	11278	mix	FAM_00023	FAM_00023;FAM_00266	2	2		0	2	present	NRPS.PKS.other;mix	NRPS.T1PKS.indole;T1PKS	1		17	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001306.1.region001	BGC31	NRPS;PKS;indole	FAM_00023;FAM_00266	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001372.3 | penigequinolone A; clustercompare 1.0: (+)-asperlin, (2Z,4Z,6E)-octa-2,4,6-trienoic acid; FBGC00302 99.8: asperlin	penigequinolone A	asperlin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001306.1.region001 represents BiG-SCAPE CC 11278 (FAM_00023) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001372.3 | penigequinolone A; clustercompare 1.0: (+)-asperlin, (2Z,4Z,6E)-octa-2,4,6-trienoic acid; FBGC00302 99.8: asperlin, but product identity is not assigned.
20	atlas_context	dataset_family_atlas	4953	mix	FAM_00018	FAM_00018;FAM_00181	2	2		0	2	present	NRPS;mix	NRPS	1		18	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001302.1.region001	BGC7	NRPS	FAM_00018;FAM_00181	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001515.4 | aspercryptins; clustercompare 0.8774459153655192: aspercryptins; FBGC00345 99.8: aspercryptin	aspercryptins	aspercryptin	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001302.1.region001 represents BiG-SCAPE CC 4953 (FAM_00018) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001515.4 | aspercryptins; clustercompare 0.8774459153655192: aspercryptins; FBGC00345 99.8: aspercryptin, but product identity is not assigned.
21	atlas_context	dataset_family_atlas	608	mix	FAM_00002	FAM_00002;FAM_00203	2	2		0	2	present	NRPS.PKS;mix	NRPS.T1PKS	1		19	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001307.1.region011	BGC52	NRPS;PKS	FAM_00002;FAM_00203	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001290.4 | emericellamide A/emericellamide B; clustercompare 0.9329232456227473: emericellamide A, emericellamide B; FBGC00293 100.0: emericellamides	emericellamide A/emericellamide B	emericellamides	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001307.1.region011 represents BiG-SCAPE CC 608 (FAM_00002) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001290.4 | emericellamide A/emericellamide B; clustercompare 0.9329232456227473: emericellamide A, emericellamide B; FBGC00293 100.0: emericellamides, but product identity is not assigned.
22	atlas_context	dataset_family_atlas	1809	mix	FAM_00009	FAM_00009;FAM_00179	2	2		0	2	present	NRPS;mix	NRPS	1		27	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001303.1.region002	BGC17	NRPS	FAM_00009;FAM_00179	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001679.3 | N-Acetyltryptophan; clustercompare 0.9772648059188251: N-Acetyltryptophan; FBGC00388 100.0: grey-brown conidiophore pigments	N-Acetyltryptophan	grey-brown conidiophore pigments	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001303.1.region002 represents BiG-SCAPE CC 1809 (FAM_00009) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0001679.3 | N-Acetyltryptophan; clustercompare 0.9772648059188251: N-Acetyltryptophan; FBGC00388 100.0: grey-brown conidiophore pigments, but product identity is not assigned.
23	atlas_context	dataset_family_atlas	6768	PKS	FAM_00143	FAM_00143	2	2		0	2	present	PKS	T1PKS	1		29	10	tier_2	Aspergillus_nidulans_FGSC_A4	UNLABELED	BN001302.1.region002	BGC8	PKS	FAM_00019;FAM_00143	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0000057.5 | F9775A/F9775B/orsellinic acid; clustercompare 0.8126410337774762: F9775A, F9775B, orsellinic acid; FBGC00232 66.7: diorcinol	F9775A/F9775B/orsellinic acid	diorcinol	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Aspergillus_nidulans_FGSC_A4 BN001302.1.region002 represents BiG-SCAPE CC 6768 (FAM_00143) with 2 clustered records across 2 dataset genomes. Annotation hints include BGC0000057.5 | F9775A/F9775B/orsellinic acid; clustercompare 0.8126410337774762: F9775A, F9775B, orsellinic acid; FBGC00232 66.7: diorcinol, but product identity is not assigned.
