genome,scaffold,overlap_bp,antismash_bgc_id,antismash_start,antismash_end,antismash_bgc_class,antismash_knowncluster_similarity_score,antismash_knowncluster_accession,antismash_knowncluster_product,antismash_clustercompare_similarity_score,antismash_clustercompare_compounds,antismash_clustercompare_organism,funbgcex_bgc_id,funbgcex_start,funbgcex_end,funbgcex_core_enzymes,funbgcex_similar_bgc,funbgcex_similarity_score,funbgcex_putative_product,same_putative_product_exact,same_putative_product_keyword
Agaricus_bisporus_H97,CP015464,17331,CP015464.1.region001,924574,1001904,NRPS;PKS,,,,0.6612569845701474,6-methylsalicyclic acid,Aspergillus terreus,BGC15,954574,971904,"NRPS-like, PKS-like",,,,no,no
Agaricus_bisporus_H97,CP015464,6452,CP015464.1.region002,1207883,1239635,terpene,100,BGC0002708.2,(+)-δ-cadinol,0.798264200494985,(+)-δ-cadinol,Coniophora puteana RWD-64-598 SS2,BGC16,1218184,1224635,TC (Class1),FBGC00452,73.0,delta-cadinene,no,no
Agaricus_bisporus_H97,CP015464,1465,CP015464.1.region003,1573969,1605433,terpene,,,,0.7843867256352903,(+)-δ-cadinol,Coniophora puteana RWD-64-598 SS2,BGC17,1588969,1590433,TC (Class1),FBGC00450,64.2,alpha-muurolene,no,no
Agaricus_bisporus_H97,CP015464,6093,CP015464.1.region004,1675962,1707183,terpene,100,BGC0002708.2,(+)-δ-cadinol,0.7921097673428111,(+)-δ-cadinol,Coniophora puteana RWD-64-598 SS2,BGC18,1690962,1697054,TC (Class1),FBGC00450,71.7,alpha-muurolene,no,no
Agaricus_bisporus_H97,CP015465,0,,,,,,,,,,,BGC24,212506,213066,PT (UbiA),,,,no,no
Agaricus_bisporus_H97,CP015465,1020,CP015465.1.region001,1478990,1510009,terpene,,,,,,,BGC25,1493990,1495009,TC (Tri5),,,,no,no
Agaricus_bisporus_H97,CP015466,0,,,,,,,,,,,BGC19,1127020,1133539,NRPS-like,FBGC00337,4.6,strobilurin A,no,no
Agaricus_bisporus_H97,CP015467,0,,,,,,,,,,,BGC23,713111,714372,TC (SHC/OSC),,,,no,no
Agaricus_bisporus_H97,CP015467,1295,CP015467.1.region001,181385,212679,indole,,,,0.42085268758717326,aborycin,Streptomyces sp. ZS0098,BGC20,196385,197679,PT (DMATS),,,,no,no
Agaricus_bisporus_H97,CP015467,1321,CP015467.1.region002,265263,296583,terpene,,,,0.4286817809227938,(+)-δ-cadinol,Coniophora puteana RWD-64-598 SS2,BGC21,280263,281583,TC (Class1),,,,no,no
Agaricus_bisporus_H97,CP015467,6258,CP015467.1.region003,356288,422545,NRPS,,,,0.46680447738565956,"fumihopaside A, compound 3, 21-β-H-hopane-3beta, 22-diol",Aspergillus fumigatus A1163,BGC22,386288,392545,NRPS-like,,,,no,no
Agaricus_bisporus_H97,CP015468,0,,,,,,,,,,,BGC27,1216298,1217246,PT (UbiA),,,,no,no
Agaricus_bisporus_H97,CP015468,5034,CP015468.1.region001,168000,199293,indole,,,,0.37257988133905623,amphotericin B,Streptomyces nodosus,BGC26,183000,188033,PT (DMATS),,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,,,,,,,,,,,BGC1,58431,73082,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,,,,,,,,,,,BGC10,3700015,3716967,NR-PKS,FBGC00248,100.0,asparasone A,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,,,,,,,,,,,BGC13,4453853,4460156,NRPS-like,FBGC00338,76.6,choline,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,,,,,,,,,,,BGC3,163172,186776,HR-PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,,,,,,,,,,,BGC7,3175921,3182087,PT (DMATS),,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,27615,CP059866.1.region001,37038,214255,NRPS;PKS,,,,0.7546603407878172,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC2,98172,125786,HR-PKS,FBGC00782,15.4,lienhwalide D,no,no
Aspergillus_flavus_NRRL3357,CP059866,7770,CP059866.1.region002,223606,254904,terpene,,,,0.5437390662161163,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC4,238606,246375,PPPS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,22525,CP059866.1.region003,327858,396138,PKS,10,BGC0001190.3,fusaric acid,0.6680975233324162,cichorine,Aspergillus nidulans FGSC A4,BGC5,357858,380382,PKS-like,FBGC00174,14.2,xylacremolide D,no,no
Aspergillus_flavus_NRRL3357,CP059866,5321,CP059866.1.region004,2117735,2179267,PKS,,,,0.43187688124189955,"hierridin B, hierridin C",Cyanobium sp. LEGE 06113,BGC6,2147735,2153055,T3PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,0,CP059866.1.region005,3009225,3054929,other,,,,0.35037562581737663,bacilysin,Bacillus sp. CS93,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,1360,CP059866.1.region006,3406099,3437458,indole,,,,0.382020594051409,"elymoclavine, Agroclavine I",Claviceps fusiformis,BGC8,3421099,3422458,PT (DMATS),FBGC00076,12.0,cyclopiazonic acid,no,no
Aspergillus_flavus_NRRL3357,CP059866,14571,CP059866.1.region007,3592204,3657410,NRPS,,,,0.6767545795586684,enniatin,Fusarium equiseti,BGC9,3622204,3636774,NRPS,FBGC00016,3.6,novofumigatonin,no,no
Aspergillus_flavus_NRRL3357,CP059866,23684,CP059866.1.region008,3675601,3774036,NRPS;PKS,75,BGC0001446.5,asparasone A,0.7960195638408195,asparasone A,Aspergillus flavus NRRL3357,BGC11,3726233,3749916,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059866,13996,CP059866.1.region009,4100280,4168466,PKS,,,,0.6592565312234749,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC12,4125854,4139849,HR-PKS,FBGC00257,3.6,calbistrin A,no,no
Aspergillus_flavus_NRRL3357,CP059866,21827,CP059866.1.region010,4426320,4497081,NRPS,100,BGC0002276.2,choline,0.81042907918743,choline,Aspergillus nidulans FGSC A4,BGC14,4463726,4485552,NRPS-like,FBGC00181,12.3,pyranonigrin A,no,no
Aspergillus_flavus_NRRL3357,CP059867,0,,,,,,,,,,,BGC16,675198,687093,TC (SHC/OSC),FBGC00661,16.5,homomonoceroid A,no,no
Aspergillus_flavus_NRRL3357,CP059867,0,,,,,,,,,,,BGC20,1385902,1394876,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059867,0,,,,,,,,,,,BGC22,5066292,5070743,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059867,0,CP059867.1.region001,475116,493072,other,,,,0.35749878403502144,alazopeptin,Streptacidiphilus griseoplanus,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059867,39967,CP059867.1.region002,611428,697603,PKS;terpene,,,,0.7291728135167894,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC15,611059,651394,HR-PKS,FBGC00080,13.1,"10,11-dehydrocurvularin",no,no
Aspergillus_flavus_NRRL3357,CP059867,13891,CP059867.1.region003,915188,983526,PKS,,,,0.6307496430514158,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC17,945188,959078,HR-PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059867,34993,CP059867.1.region004,1020202,1088073,PKS,36,BGC0001976.3,eupenifeldin,0.6586466880121152,alternariol,Parastagonospora nodorum SN15,BGC18,1035953,1070945,NR-PKS,FBGC00217,70.3,"2-ethyl-4,6-dihydroxy-3,5-dimethylbenzaldehyde",no,no
Aspergillus_flavus_NRRL3357,CP059867,21280,CP059867.1.region005,1312253,1424876,NRPS;PKS,,,,0.7298764444670061,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC19,1336619,1357898,HR-PKS,FBGC00139,9.0,varicidins,no,no
Aspergillus_flavus_NRRL3357,CP059867,5038,CP059867.1.region006,4615237,4678272,NRPS,,,,0.5955837415107955,ε-Poly-L-lysine,Epichloe festucae,BGC21,4645237,4650274,NRPS-like,FBGC00067,5.5,apicidin,no,no
Aspergillus_flavus_NRRL3357,CP059867,14067,CP059867.1.region007,6175914,6238979,NRPS,100,BGC0002602.2,aspergillic acid,0.7081764993140183,choline,Aspergillus nidulans FGSC A4,BGC23,6199212,6213278,NRPS-like,FBGC00132,98.2,aspergillic acid,yes,yes
Aspergillus_flavus_NRRL3357,CP059868,0,,,,,,,,,,,BGC24,38378,54585,RiPP PP,,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,0,,,,,,,,,,,BGC26,274352,286681,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,0,,,,,,,,,,,BGC36,5080354,5096674,NRPS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,14967,CP059868.1.region001,237014,316681,NRPS;terpene,,,,0.6425199908508679,conidiogenone,Penicillium rubens Wisconsin 54-1255,BGC25,252014,266980,"TC (PbcA), PPPS",FBGC00476,22.3,aflatrem,no,no
Aspergillus_flavus_NRRL3357,CP059868,15146,CP059868.1.region002,323310,391541,PKS,,,,0.6297774724810391,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC27,346396,361541,HR-PKS,FBGC00548,4.2,deoxyakanthomycin,no,no
Aspergillus_flavus_NRRL3357,CP059868,3652,CP059868.1.region003,773053,830360,terpene,,,,0.3893299912465239,"calidoustene A, calidoustene B, calidoustene C",Aspergillus calidoustus,BGC28,811709,815360,TC (AstC),FBGC00150,7.8,nanangenines,no,no
Aspergillus_flavus_NRRL3357,CP059868,4662,CP059868.1.region004,1108509,1139160,terpene,,,,0.30961356595665873,heptelidic acid,Aspergillus oryzae RIB40,BGC29,1123509,1128170,TC (Class1),,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,39496,CP059868.1.region005,1148197,1213642,PKS,100,BGC0001304.3,aflavarin,0.9240839218954914,aflavarin,Aspergillus flavus NRRL3357,BGC30,1174147,1234224,NR-PKS,FBGC00243,100.0,aflavarin,yes,yes
Aspergillus_flavus_NRRL3357,CP059868,18814,CP059868.1.region006,1406150,1480490,NRPS,25,BGC0002710.2,metachelin C/metachelin A/metachelin A-CE/metachelin B/dimerumic acid 11-mannoside/dimerumic acid,0.6938926955121995,epichloenin A,Epichloe festucae,BGC31,1436150,1454963,NRPS,FBGC00373,73.6,triacetylfusarinine C/hydroxyferricrocin,no,no
Aspergillus_flavus_NRRL3357,CP059868,38560,CP059868.1.region007,2311670,2378695,PKS,14,BGC0001720.3,oosporein,0.6608607555339457,alternariol,Parastagonospora nodorum SN15,BGC32,2324661,2363220,NR-PKS,FBGC00230,13.7,oosporein,yes,yes
Aspergillus_flavus_NRRL3357,CP059868,0,CP059868.1.region008,3433251,3463841,terpene,,,,0.25835361771188464,"nanangenine A, nanangenine B, nanangenine C",Aspergillus nanangensis,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,31187,CP059868.1.region009,3931871,3995086,NRPS;terpene,100,BGC0002248.3,flavunoidine,0.8570938635527451,flavunoidine,Aspergillus flavus NRRL3357,BGC33,3938598,3969784,"NRPS, TC (Class1), TC (Tri5)",FBGC00377,99.9,flavunoidine,yes,yes
Aspergillus_flavus_NRRL3357,CP059868,19810,CP059868.1.region010,4591721,4659072,PKS,,,,0.6651214621949202,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC34,4609263,4629072,HR-PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059868,84855,CP059868.1.region011,4964253,5100955,NRPS;PKS;indole,40,BGC0000007.3,aflatoxin G1/aflatoxin B1,0.935040382036029,α-cyclopiazonic acid,Aspergillus flavus,BGC35,4932452,5049107,"PKS-NRPS, NR-PKS, PT (DMATS)",FBGC00053,98.4,aflatoxins,no,no
Aspergillus_flavus_NRRL3357,CP059869,0,,,,,,,,,,,BGC40,3181348,3195017,NRPS,FBGC00362,99.1,ditryptophenaline,no,no
Aspergillus_flavus_NRRL3357,CP059869,3354,CP059869.1.region001,1346991,1410344,NRPS,,,,0.3870092268014231,Orsellinic acid,Moniliophthora roreri MCA 2997,BGC37,1376991,1380344,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,0,CP059869.1.region002,1496093,1527327,terpene,,,,0.5622714948728933,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,18153,CP059869.1.region003,1789146,1825939,terpene,,,,0.6500200874221385,asperterpenoid A,Talaromyces wortmannii,BGC38,1804146,1822298,"TC (Class1), PPPS",FBGC00201,4.6,diterpenoid pyrones,no,no
Aspergillus_flavus_NRRL3357,CP059869,0,CP059869.1.region004,2785750,2818154,terpene,100,BGC0001248.3,clavaric acid,0.7959873602689449,clavaric acid,Hypholoma sublateritium,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,10234,CP059869.1.region005,2931354,2998004,PKS,18,BGC0002709.2,aurofusarin,1.0,YWA1,Aspergillus oryzae RIB40,BGC39,2957771,2968004,NR-PKS,FBGC00615,99.6,YWA1 derivative,no,no
Aspergillus_flavus_NRRL3357,CP059869,31572,CP059869.1.region006,3157119,3261699,NRPS;PKS,100,BGC0002157.2,(-)-ditryptophenaline,0.8820042885383369,(-)-ditryptophenaline,Aspergillus flavus,BGC41,3213506,3245077,HR-PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,0,CP059869.1.region007,3442931,3474041,terpene,,,,0.37328019673121804,cyclooctatin,Streptomyces melanosporofaciens,,,,,,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,48981,CP059869.1.region008,3479121,3555444,NRPS,,,,0.6817731915406097,"cyclo-(D-Phe-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Trp-D-Val-L-Val), cyclo-(D-Phe-L-Phe-D-Val-L-Ile), cyclo-(D-Phe-L-Phe-D-Ile-L-Val), cyclo-(D-Tyr-L-Trp-D-Val-L-Ile), cyclo-(D-Tyr-L-Trp-D-Ile-L-Val), cyclo-(D-Tyr-L-Phe-D-Val-L-Ile), cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)",Penicillium rubens Wisconsin 54-1255,BGC42,3506464,3556520,NRPS,FBGC00612,12.4,fusatinic acid,no,no
Aspergillus_flavus_NRRL3357,CP059869,3654,CP059869.1.region009,3557611,3588951,indole,,,,0.33974038886131513,hancockinone A,Aspergillus hancockii,BGC43,3572611,3576264,PT (DMATS),,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,30603,CP059869.1.region010,3969474,4036763,PKS,66,BGC0002238.3,"2,4'-dihydroxy-3'-methoxypropiophenone",0.8633231024697757,"2,4'-dihydroxy-3'-methoxypropiophenone",Aspergillus oryzae RIB40,BGC44,3978406,4009008,HR-PKS,FBGC00291,99.7,"2,4'-dihydroxy-3'-methoxypropiophenone",yes,yes
Aspergillus_flavus_NRRL3357,CP059869,4377,CP059869.1.region011,4052499,4083939,terpene,,,,,,,BGC45,4064563,4068939,TC (Class1),,,,no,no
Aspergillus_flavus_NRRL3357,CP059869,13349,CP059869.1.region012,4202963,4234008,terpene,,,,0.5466792638794643,"ririwpeptide A, ririwpeptide B, ririwpeptide C",Photorhabdus laumondii subsp. laumondii TTO1,BGC46,4212263,4225611,TC (UbiA),FBGC00750,4.2,proliferic acid A,no,no
Aspergillus_flavus_NRRL3357,CP059869,27583,CP059869.1.region013,4481546,4514091,terpene,,,,0.7680854771310079,clavaric acid,Hypholoma sublateritium,BGC47,4482735,4510317,TC (SHC/OSC),FBGC00646,15.5,15G256alpha,no,no
Aspergillus_flavus_NRRL3357,CP059870,0,,,,,,,,,,,BGC48,114415,139510,RiPP PP,FBGC00813,74.2,asperigimycins,no,no
Aspergillus_flavus_NRRL3357,CP059870,0,,,,,,,,,,,BGC49,214859,226348,NR-PKS,FBGC00204,6.7,diterpenoid pyrones,no,no
Aspergillus_flavus_NRRL3357,CP059870,0,,,,,,,,,,,BGC54,1233235,1237216,ICS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059870,0,,,,,,,,,,,BGC57,2669171,2670311,PEPM,,,,no,no
Aspergillus_flavus_NRRL3357,CP059870,13049,CP059870.1.region001,189611,273160,PKS,16,BGC0001405.4,chaetoviridin E/11-epichaetomugilin A,0.752786765419928,"prolipyrone B, gibepyrone D",Fusarium graminearum PH-1,BGC50,230112,243160,HR-PKS,FBGC00711,23.9,anhydrosclerotinin B,no,no
Aspergillus_flavus_NRRL3357,CP059870,5778,CP059870.1.region002,310036,341675,terpene,,,,0.31414413603486174,penifulvin A,Penicillium griseofulvum,BGC51,322372,328149,TC (Class1),FBGC00651,31.4,tricinonoic acid,no,no
Aspergillus_flavus_NRRL3357,CP059870,25151,CP059870.1.region003,795798,827238,indole,,,,0.5393893626912887,ascofuranone,Acremonium egyptiacum,BGC52,802088,828750,PT (DMATS),FBGC00814,5.6,asperpentyn,no,no
Aspergillus_flavus_NRRL3357,CP059870,23064,CP059870.1.region004,956699,1022770,PKS,83,BGC0002237.3,dichlorodiaporthin,0.9236878850103286,dichlorodiaporthin,Aspergillus oryzae RIB40,BGC53,986699,1009762,NR-PKS,FBGC00563,98.6,8-methyldichlorodiaporthin,no,no
Aspergillus_flavus_NRRL3357,CP059870,7362,CP059870.1.region005,1785849,1818147,terpene,,,,0.5345958227357988,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC55,1800849,1808210,chimeric TS,FBGC00516,2.9,cornexistin,no,no
Aspergillus_flavus_NRRL3357,CP059870,5376,CP059870.1.region006,2513220,2574576,PKS,,,,0.5283290477118671,"2-methoxy-5-methyl-6-(13-methyltetradecyl)-1,4-benzoquinone, 2-methoxy-5-methyl-6-(13-methyltetradecyl)phenol",Streptomyces griseus subsp. griseus NBRC 13350,BGC56,2543220,2548595,T3PKS,FBGC00498,95.9,"3,5-dihydroxybenzoic acid",no,no
Aspergillus_flavus_NRRL3357,CP059870,19929,CP059870.1.region007,2670119,2736097,NRPS;indole,,,,0.639710169621574,"serinocyclin A, serinocyclin B",Metarhizium robertsii,BGC58,2689991,2709919,"NRPS, PT (DMATS)",,,,no,no
Aspergillus_flavus_NRRL3357,CP059870,18310,CP059870.1.region008,2772366,2804826,terpene,,,,0.6724275008914679,stellatic acid,Aspergillus stellatus,BGC59,2785555,2803864,PPPS,FBGC00761,32.5,myrothec-15(17)-en-7-ol-5-one,no,no
Aspergillus_flavus_NRRL3357,CP059870,36611,CP059870.1.region009,3982358,4038287,RiPP,68,BGC0000627.4,ustiloxin B,0.719091560774608,ustiloxin B,Aspergillus flavus NRRL3357,BGC60,4001677,4048459,RiPP PP,FBGC00492,85.1,ustiloxin B,yes,yes
Aspergillus_flavus_NRRL3357,CP059870,29895,CP059870.1.region010,4322883,4355918,terpene,20,BGC0002614.2,subglutinol A/sesquicillin A/colletotrichin/metarhizin A,0.5612671573810907,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC61,4315118,4352777,"PT (PaxC), PPPS",FBGC00476,97.7,aflatrem,no,no
Aspergillus_flavus_NRRL3357,CP059870,32879,CP059870.1.region011,4398689,4453722,NRPS;PKS,50,BGC0001124.4,pyranonigrin E,0.707504031755985,fusarin C,Fusarium fujikuroi,BGC62,4410001,4442879,PKS-NRPS,FBGC00181,42.4,pyranonigrin A,no,yes
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC64,503258,506926,RiPP PP,,,,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC68,1313243,1323026,TC (SHC/OSC),FPROT00020,4.8,arthripenoids,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC69,1343807,1357944,HR-PKS,FBGC00024,5.8,pyranoviolin A,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC71,2064552,2072926,NRPS-like,,,,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC73,2241654,2246372,chimeric TS,FBGC00425,66.3,variediene,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC77,3164269,3176408,HR-PKS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC78,3178502,3218820,PKS-NRPS,FBGC00272,99.8,leporin B,no,no
Aspergillus_flavus_NRRL3357,CP059871,0,,,,,,,,,,,BGC79,3221357,3230719,PPPS,FBGC00012,22.7,quiannulatic acid,no,no
Aspergillus_flavus_NRRL3357,CP059871,5351,CP059871.1.region001,447920,479047,indole,,,,0.34977152949509094,"penitrem A, penitrem B, penitrem C, penitrem D, penitrem E, penitrem F",Penicillium simplicissimum,BGC63,462920,468270,PT (DMATS),FBGC00190,7.0,imizoquins,no,no
Aspergillus_flavus_NRRL3357,CP059871,4812,CP059871.1.region002,725285,756143,terpene,,,,0.29814580300153193,sordarial,Neurospora crassa OR74A,BGC65,738651,743462,TC (Pyr4),,,,no,no
Aspergillus_flavus_NRRL3357,CP059871,21009,CP059871.1.region003,832978,904788,NRPS,,,,0.7463256843518986,enniatin,Fusarium equiseti,BGC66,862978,883986,NRPS,,,,no,no
Aspergillus_flavus_NRRL3357,CP059871,20584,CP059871.1.region004,1169272,1232400,NRPS,100,BGC0002167.2,"actinopolymorphol C/morpholine containing hemiacetal piperazine compound/piperazine compound 2/piperazine compound 1/3-(p-hydroxyphenyl)-1,2-propanediol/N,N-dioxide containing derivate/O-sulfonated actinopolymorphol C/C-3 sulfonylated derivative",0.983868146806197,"actinopolymorphol C, morpholine containing hemiacetal piperazine compound, piperazine compound 2, piperazine compound 1, 3-(p-hydroxyphenyl)-1,2-propanediol, N,N-dioxide containing derivate, O-sulfonated actinopolymorphol C, C-3 sulfonylated derivative",Aspergillus flavus NRRL3357,BGC67,1196775,1217358,NRPS-like,FBGC00403,100.0,piperazine derivatives,no,yes
Aspergillus_flavus_NRRL3357,CP059871,16079,CP059871.1.region005,1300303,1440705,PKS;terpene,100,BGC0001248.3,clavaric acid,0.7914004374172184,clavaric acid,Hypholoma sublateritium,BGC70,1408583,1424661,ICS,FBGC00570,6.5,xanthocillin,no,no
Aspergillus_flavus_NRRL3357,CP059871,29594,CP059871.1.region006,2037245,2124020,NRPS,18,BGC0000404.4,penicillin,0.7272673291734405,dimethylcoprogen,Alternaria alternata,BGC72,2078657,2108250,NRPS,FBGC00382,84.8,penicillin G,no,yes
Aspergillus_flavus_NRRL3357,CP059871,10174,CP059871.1.region007,2226654,2294976,PKS;terpene,,,,0.5419688749379039,"pimara-8(14),15-diene",Aspergillus nidulans FGSC A4,BGC74,2263835,2274008,T3PKS,FBGC00498,49.1,"3,5-dihydroxybenzoic acid",no,no
