atlas_rank	manual_review_bucket	selection_track	bigscape_cc	shared_cc_primary_family_source	shared_cc_primary_families	shared_cc_all_family_aliases	shared_cc_record_count	shared_cc_dataset_genome_count	focus_ecology_label	shared_cc_focus_genome_count	shared_cc_nonfocus_genome_count	shared_cc_ecology_pattern	shared_cc_categories	shared_cc_classes	shared_cc_target_region_count	priority_shortlist_bucket	rank	priority_score	priority_tier	genome	ecology_group	antismash_region	funbgcex_cluster	antismash_class	gcf_id	gcf_ecology_pattern	gcf_genome_count	gcf_focus_genome_count	gcf_nonfocus_genome_count	consensus_support	annotation_support_tier	nearest_mibig_or_annotation_if_available	antismash_knowncluster_product	funbgcex_putative_product	recommended_followup	ranking_rationale	safe_claim_text
11	atlas_now	dataset_family_atlas	2765	mix	FAM_00089	FAM_00089;FAM_02436	8	8		0	8	present	PKS;mix	T1PKS	6		23	13	tier_1	Aspergillus_niger	UNLABELED	NT_166525.1.region007	BGC10	PKS	FAM_00089;FAM_02436	present	6	0	6	antiSMASH+FunBGCeX	knowncluster_high	BGC0002175.3 | YWA1; clustercompare 0.8398763509174734: YWA1; FBGC00615 37.6: YWA1 derivative	YWA1	YWA1 derivative	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Aspergillus_niger NT_166525.1.region007 represents BiG-SCAPE CC 2765 (FAM_00089) with 8 clustered records across 8 dataset genomes. Annotation hints include BGC0002175.3 | YWA1; clustercompare 0.8398763509174734: YWA1; FBGC00615 37.6: YWA1 derivative, but product identity is not assigned.
12	atlas_now	dataset_family_atlas	1421	mix	FAM_00051;FAM_00052	FAM_00051;FAM_00052;FAM_01770;FAM_01771	8	8		0	8	present	mix;terpene	terpene-precursor	8		600	7	tier_3	Aspergillus_fumigatus_Af293	UNLABELED	NC_007198.1.region003	BGC32	terpene	FAM_00051;FAM_01770	present	4	0	4	antiSMASH+FunBGCeX	annotation_text_only	clustercompare 0.33823657388174955: raimonol; FBGC00069 3.9: viridicatumtoxin		viridicatumtoxin	manual GCF-context review before follow-up	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=limited	Aspergillus_fumigatus_Af293 NC_007198.1.region003 represents BiG-SCAPE CC 1421 (FAM_00051;FAM_00052) with 8 clustered records across 8 dataset genomes. Annotation hints include clustercompare 0.33823657388174955: raimonol; FBGC00069 3.9: viridicatumtoxin, but product identity is not assigned.
13	atlas_now	dataset_family_atlas	3362	mix	FAM_00098	FAM_00098;FAM_01779	8	7		0	7	present	mix;terpene	terpene	7		33	12	tier_1	Serpula_lacrymans_S7.9	UNLABELED	NW_006763299.1.region001	BGC33	terpene	FAM_00098;FAM_01779	present	6	0	6	antiSMASH+FunBGCeX	knowncluster_high	BGC0001248.3 | clavaric acid; clustercompare 0.8234038398498335: clavaric acid; FBGC00467 5.3: helvolic acid	clavaric acid	helvolic acid	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; product_support=keyword	Serpula_lacrymans_S7.9 NW_006763299.1.region001 represents BiG-SCAPE CC 3362 (FAM_00098) with 8 clustered records across 7 dataset genomes. Annotation hints include BGC0001248.3 | clavaric acid; clustercompare 0.8234038398498335: clavaric acid; FBGC00467 5.3: helvolic acid, but product identity is not assigned.
14	atlas_context	dataset_family_atlas	1803	mix	FAM_00061;FAM_00062	FAM_00061;FAM_00062;FAM_01402	7	7		0	7	present	NRPS;mix	NRPS;indole	7		421	8	tier_2	Fusarium_graminearum_PH-1_NRRL_31084	UNLABELED	NC_026474.1.region012	BGC14	NRPS	FAM_00061;FAM_01402	present	4	0	4	antiSMASH+FunBGCeX	annotation_text_only	clustercompare 0.6081151007489776: serinocyclin A, serinocyclin B			review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported	Fusarium_graminearum_PH-1_NRRL_31084 NC_026474.1.region012 represents BiG-SCAPE CC 1803 (FAM_00061;FAM_00062) with 7 clustered records across 7 dataset genomes. Annotation hints include clustercompare 0.6081151007489776: serinocyclin A, serinocyclin B, but product identity is not assigned.
15	atlas_context	dataset_family_atlas	3680	mix	FAM_00104	FAM_00104;FAM_01411	6	6		0	6	present	NRPS;mix	NAPAA	5		24	13	tier_1	Claviceps_purpurea_20.1	UNLABELED	CAGA01000011.1.region001	BGC24	NRPS	FAM_00104;FAM_01411	present	5	0	5	antiSMASH+FunBGCeX	knowncluster_high	BGC0002174.2 | ε-Poly-L-lysine; clustercompare 0.7291168387203245: ε-Poly-L-lysine; FBGC00614 87.8: epsilon-poly-L-lysine	ε-Poly-L-lysine	epsilon-poly-L-lysine	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Claviceps_purpurea_20.1 CAGA01000011.1.region001 represents BiG-SCAPE CC 3680 (FAM_00104) with 6 clustered records across 6 dataset genomes. Annotation hints include BGC0002174.2 | ε-Poly-L-lysine; clustercompare 0.7291168387203245: ε-Poly-L-lysine; FBGC00614 87.8: epsilon-poly-L-lysine, but product identity is not assigned.
16	atlas_context	dataset_family_atlas	952	mix	FAM_00026	FAM_00026;FAM_02418	6	6		0	6	present	PKS;mix	NRPS.T1PKS.terpene;T1PKS	4		83	11	tier_1	Fusarium_fujikuroi_IMI_58289	UNLABELED	NC_036632.1.region004	BGC58	NRPS;PKS;terpene	FAM_00026;FAM_02773	present	3	0	3	antiSMASH+FunBGCeX	knowncluster_high	BGC0001606.3 | gibepyrone-A; clustercompare 1.0: gibepyrone-A; FBGC00547 15.3: lentopeptins	gibepyrone-A	lentopeptins	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Fusarium_fujikuroi_IMI_58289 NC_036632.1.region004 represents BiG-SCAPE CC 952 (FAM_00026) with 6 clustered records across 6 dataset genomes. Annotation hints include BGC0001606.3 | gibepyrone-A; clustercompare 1.0: gibepyrone-A; FBGC00547 15.3: lentopeptins, but product identity is not assigned.
17	atlas_context	dataset_family_atlas	1429	NRPS.PKS	FAM_02309	FAM_02309	6	6		0	6	present	NRPS.PKS	NRPS.T1PKS	3		84	11	tier_1	Fusarium_graminearum_PH-1_NRRL_31084	UNLABELED	NC_026477.1.region007	BGC52	NRPS;PKS	FAM_00039;FAM_02309	present	3	0	3	antiSMASH+FunBGCeX	knowncluster_high	BGC0002261.2 | lucilactaene; clustercompare 0.8305879396705224: fusarin C; FBGC00271 77.2: fusarin C	lucilactaene	fusarin C	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Fusarium_graminearum_PH-1_NRRL_31084 NC_026477.1.region007 represents BiG-SCAPE CC 1429 (FAM_02309) with 6 clustered records across 6 dataset genomes. Annotation hints include BGC0002261.2 | lucilactaene; clustercompare 0.8305879396705224: fusarin C; FBGC00271 77.2: fusarin C, but product identity is not assigned.
18	atlas_context	dataset_family_atlas	494	mix	FAM_00012	FAM_00012	6	6		0	6	present	mix	NRPS.isocyanide-nrp;isocyanide-nrp;unknown	5		307	9	tier_2	Fusarium_oxysporum_Fo47	UNLABELED	NC_072849.1.region002	BGC49	NRPS	FAM_00012;FAM_01425	present	3	0	3	antiSMASH+FunBGCeX	clustercompare_hint	clustercompare 0.7582016755226905: dimethylcoprogen; FBGC00541 56.9: (S)-2-isocyanoisovaleric acid		(S)-2-isocyanoisovaleric acid	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; clustercompare>=0.7; FunBGCeX_similarity>=10	Fusarium_oxysporum_Fo47 NC_072849.1.region002 represents BiG-SCAPE CC 494 (FAM_00012) with 6 clustered records across 6 dataset genomes. Annotation hints include clustercompare 0.7582016755226905: dimethylcoprogen; FBGC00541 56.9: (S)-2-isocyanoisovaleric acid, but product identity is not assigned.
19	atlas_context	dataset_family_atlas	5293	mix	FAM_00128	FAM_00128;FAM_02448	5	5		0	5	present	PKS;mix	T1PKS	2		45	12	tier_1	Fusarium_fujikuroi_IMI_58289	UNLABELED	NC_036630.1.region005	BGC46	PKS	FAM_00128;FAM_02448	present	2	0	2	antiSMASH+FunBGCeX	knowncluster_high	BGC0002502.3 | fumonisin B3/fumonisin B2/fumonisin B1; clustercompare 0.8561498938415547: fumonisin B3, fumonisin B2, fumonisin B1; FBGC00095 98.8: fumonisin B1	fumonisin B3/fumonisin B2/fumonisin B1	fumonisin B1	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10; product_support=keyword	Fusarium_fujikuroi_IMI_58289 NC_036630.1.region005 represents BiG-SCAPE CC 5293 (FAM_00128) with 5 clustered records across 5 dataset genomes. Annotation hints include BGC0002502.3 | fumonisin B3/fumonisin B2/fumonisin B1; clustercompare 0.8561498938415547: fumonisin B3, fumonisin B2, fumonisin B1; FBGC00095 98.8: fumonisin B1, but product identity is not assigned.
20	atlas_context	dataset_family_atlas	2311	mix	FAM_00077	FAM_00077;FAM_02744	5	5		0	5	present	NRPS.other;mix	NRPS;NRPS.indole	1		218	10	tier_2	Claviceps_purpurea_20.1	UNLABELED	CAGA01000020.1.region002	BGC19	NRPS;indole	FAM_00077;FAM_02744	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001241.4 | ergotamine/ergocryptine; clustercompare 0.9772648059188251: ergotamine; FBGC00180 97.1: ergot alkaloid	ergotamine/ergocryptine	ergot alkaloid	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Claviceps_purpurea_20.1 CAGA01000020.1.region002 represents BiG-SCAPE CC 2311 (FAM_00077) with 5 clustered records across 5 dataset genomes. Annotation hints include BGC0001241.4 | ergotamine/ergocryptine; clustercompare 0.9772648059188251: ergotamine; FBGC00180 97.1: ergot alkaloid, but product identity is not assigned.
21	atlas_context	dataset_family_atlas	3290	mix	FAM_00096;FAM_00097	FAM_00096;FAM_00097;FAM_01777;FAM_01778	5	5		0	5	present	mix;terpene	terpene	5		612	7	tier_3	Fusarium_oxysporum_Fo47	UNLABELED	NC_072840.1.region003	BGC3	terpene	FAM_00097;FAM_01778	present	3	0	3	antiSMASH+FunBGCeX	annotation_text_only	clustercompare 0.29217449743751855: O-antigen			manual class-logic review, then targeted synteny if chemistry remains plausible	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported	Fusarium_oxysporum_Fo47 NC_072840.1.region003 represents BiG-SCAPE CC 3290 (FAM_00096;FAM_00097) with 5 clustered records across 5 dataset genomes. Annotation hints include clustercompare 0.29217449743751855: O-antigen, but product identity is not assigned.
22	atlas_context	dataset_family_atlas	3434	mix	FAM_00102	FAM_00102;FAM_02223	5	5		0	5	present	mix;other	betalactone	5		971	6	tier_3	Aspergillus_flavus_NRRL3357	UNLABELED	CP059866.1.region005		other	FAM_00102;FAM_02223	present	5	0	5	antiSMASH-only	annotation_text_only	clustercompare 0.35037562581737663: bacilysin			manual GCF-context review before follow-up	consensus=antiSMASH-only; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported	Aspergillus_flavus_NRRL3357 CP059866.1.region005 represents BiG-SCAPE CC 3434 (FAM_00102) with 5 clustered records across 5 dataset genomes. Annotation hints include clustercompare 0.35037562581737663: bacilysin, but product identity is not assigned.
23	atlas_context	dataset_family_atlas	251	mix	FAM_00007	FAM_00007;FAM_02307	5	4		0	4	present	NRPS.PKS;mix	NRPS.T1PKS	2		95	11	tier_1	Cordyceps_militaris_CM01	UNLABELED	NW_006271975.1.region001	BGC33	NRPS;PKS	FAM_00007;FAM_02307	present	2	0	2	antiSMASH+FunBGCeX	knowncluster_high	BGC0001218.3 | fumosorinone; clustercompare 0.7505529108138915: fusarin C; FBGC00596 76.1: desmethylbassianin	fumosorinone	desmethylbassianin	prioritize targeted synteny/clinker and manual class-level metabolite review	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Cordyceps_militaris_CM01 NW_006271975.1.region001 represents BiG-SCAPE CC 251 (FAM_00007) with 5 clustered records across 4 dataset genomes. Annotation hints include BGC0001218.3 | fumosorinone; clustercompare 0.7505529108138915: fusarin C; FBGC00596 76.1: desmethylbassianin, but product identity is not assigned.
24	atlas_context	dataset_family_atlas	1199	mix	FAM_00035;FAM_00036	FAM_00035;FAM_00036;FAM_01767;FAM_01768	5	4		0	4	present	mix;terpene	terpene	1		257	10	tier_2	Fusarium_graminearum_PH-1_NRRL_31084	UNLABELED	NC_026475.1.region011	BGC30	terpene	FAM_00036;FAM_01768	present	1	0	1	antiSMASH+FunBGCeX	knowncluster_high	BGC0001278.4 | T-2 toxin; clustercompare 0.839180551246296: trichodiene-11-one; FBGC00105 99.4: trichothecene	T-2 toxin	trichothecene	review GCF context and schedule targeted synteny/clinker	consensus=antiSMASH+FunBGCeX; gcf_pattern=present; ecology_group=UNLABELED; focus_ecology_label=none; class_logic=supported; knowncluster>=50; clustercompare>=0.7; FunBGCeX_similarity>=10	Fusarium_graminearum_PH-1_NRRL_31084 NC_026475.1.region011 represents BiG-SCAPE CC 1199 (FAM_00035;FAM_00036) with 5 clustered records across 4 dataset genomes. Annotation hints include BGC0001278.4 | T-2 toxin; clustercompare 0.839180551246296: trichodiene-11-one; FBGC00105 99.4: trichothecene, but product identity is not assigned.
